,coefficient,std_error,pvalue
C(ppg_id)[PPG_01],12.054862829708425,0.6284331445539639,8.236371405150159e-70
C(ppg_id)[PPG_02],12.17049015963513,0.652117065973996,1.1073270045083984e-66
C(ppg_id)[PPG_03],11.175152496164927,0.5224728188578118,1.691361811652302e-83
C(ppg_id)[PPG_04],11.26096416910508,0.7522340781465207,9.458990613687344e-46
C(ppg_id)[PPG_05],10.063329960474004,0.6311090984744505,4.983312226594651e-51
C(ppg_id)[PPG_06],11.556955863645769,0.638617454249458,2.563594058473223e-63
C(ppg_id)[PPG_07],11.740682255646554,0.536519549679138,1.2221203693195252e-86
C(ppg_id)[PPG_08],11.771388567180438,0.8143735489374585,4.812786971837019e-43
C(ppg_id)[PPG_09],11.22365739691815,0.6838951885805719,1.283029052819918e-53
C(ppg_id)[PPG_10],11.623212445768488,0.6160546632535766,6.59655908296231e-68
ln_own_price:C(ppg_id)[PPG_01],-2.56868097103612,0.14062661352376168,2.564800433467251e-64
ln_own_price:C(ppg_id)[PPG_02],-2.448000534170993,0.1397957351141265,6.831774539850465e-60
ln_own_price:C(ppg_id)[PPG_03],-2.541433070153131,0.1475424368108084,3.073575560649808e-58
ln_own_price:C(ppg_id)[PPG_04],-2.4517401300706263,0.13930775508254972,2.1003296308337138e-60
ln_own_price:C(ppg_id)[PPG_05],-2.2655066649222384,0.13053027219961896,5.3975646641313075e-59
ln_own_price:C(ppg_id)[PPG_06],-2.535963760281655,0.14125868121675655,1.8103172373408088e-62
ln_own_price:C(ppg_id)[PPG_07],-2.701671842491823,0.15343610025637155,1.8781865647422496e-60
ln_own_price:C(ppg_id)[PPG_08],-2.433458855370123,0.15583331686213878,3.18926417616893e-49
ln_own_price:C(ppg_id)[PPG_09],-2.493235870953452,0.1450542732390915,5.002706949916407e-58
ln_own_price:C(ppg_id)[PPG_10],-2.476140023160948,0.14176690080447482,1.2455573789883856e-59
ln_comp_price:C(ppg_id)[PPG_01],0.6503162989700773,0.1866571186401166,0.0005159596911340959
ln_comp_price:C(ppg_id)[PPG_02],0.5459078265237807,0.1832684968360367,0.0029662685836179185
ln_comp_price:C(ppg_id)[PPG_03],1.1488585533072637,0.19043378345526657,2.2865552417075273e-09
ln_comp_price:C(ppg_id)[PPG_04],0.9583738101887871,0.1884311127404784,4.384722532501623e-07
ln_comp_price:C(ppg_id)[PPG_05],1.1570947894678172,0.20391939314047206,1.8367398503537092e-08
ln_comp_price:C(ppg_id)[PPG_06],0.6177475782047956,0.20085692220444804,0.0021597519154507583
ln_comp_price:C(ppg_id)[PPG_07],0.6748161445515533,0.19001534763808578,0.0004015846397792422
ln_comp_price:C(ppg_id)[PPG_08],0.6430664555028462,0.18817520472900826,0.0006584524165656212
ln_comp_price:C(ppg_id)[PPG_09],0.7939710612876283,0.2059313382244228,0.0001230728927680716
ln_comp_price:C(ppg_id)[PPG_10],0.841671451889646,0.19021281873112708,1.0738468136465542e-05
ln_tdp:C(ppg_id)[PPG_01],0.6868852157667851,0.06475438360738861,5.960534417734788e-25
ln_tdp:C(ppg_id)[PPG_02],0.7188193492360342,0.06143996437438089,1.120428457066054e-29
ln_tdp:C(ppg_id)[PPG_03],0.608244269018265,0.06295258451312487,3.759832672160487e-21
ln_tdp:C(ppg_id)[PPG_04],0.6408590654155093,0.06442242676341729,2.859387033722691e-22
ln_tdp:C(ppg_id)[PPG_05],0.6973148364528745,0.060268212822635114,4.239506310622101e-29
ln_tdp:C(ppg_id)[PPG_06],0.7720991482303603,0.06116117009409925,6.071181898983139e-34
ln_tdp:C(ppg_id)[PPG_07],0.7731749876685097,0.058624574208799664,1.1627207193524353e-36
ln_tdp:C(ppg_id)[PPG_08],0.6758549908465677,0.060722075187412274,3.6033451484930446e-27
ln_tdp:C(ppg_id)[PPG_09],0.7612021808875054,0.06562090416582819,3.1230484387976163e-29
ln_tdp:C(ppg_id)[PPG_10],0.6620792809718763,0.060758303844548105,3.6076896765974705e-26
base_unit_pct,0.009536807153461835,0.04562365365815535,0.8344669496887557
trend,-0.0001356792330732343,9.87725457959776e-05,0.16986573691250811
sin_52,0.1515974434945162,0.00395527429243019,1.2413992631879573e-196
cos_52,0.0016659875263839719,0.0036980714311693067,0.6524490803683859
sin_26,-0.009326865317843762,0.003744565432792211,0.012912317548756111
cos_26,0.01054978125354164,0.0038453483374885295,0.006190228236705492
is_holiday,0.0019967565863057146,0.008727108667699268,0.819072969303337
