Date,Week,Price_A,Price_B,Price_C,Sales_A
2024-01-08,1,12.25,11.44,12.81,5222
2024-01-15,2,11.93,11.66,14.81,6757
2024-01-22,3,12.32,12.25,12.84,6052
2024-01-29,4,12.76,11.57,13.18,4539
2024-02-05,5,11.88,11.6,13.07,6012
2024-02-12,6,11.88,11.47,12.89,5304
2024-02-19,7,12.79,10.73,12.31,3930
2024-02-26,8,12.38,11.49,12.96,4850
2024-03-04,9,11.77,11.52,12.04,5401
2024-03-11,10,12.27,12.49,12.36,5822
2024-03-18,11,11.77,11.42,12.21,4954
2024-03-25,12,11.77,11.62,12.55,7000
2024-04-01,13,12.12,11.49,13.89,5120
2024-04-08,14,11.04,11.03,11.38,5111
2024-04-15,15,11.14,11.96,12.91,8069
2024-04-22,16,11.72,11.8,11.53,5836
2024-04-29,17,11.49,11.82,12.22,6455
2024-05-06,18,12.16,11.14,13.15,5348
2024-05-13,19,11.55,12.06,12.54,6264
2024-05-20,20,11.29,10.94,11.85,4991
2024-05-27,21,12.73,11.73,12.07,4319
2024-06-03,22,11.89,12.38,12.91,5672
2024-06-10,23,12.03,11.1,12.06,5095
2024-06-17,24,11.29,11.27,12.63,5869
2024-06-24,25,11.73,11.54,12.53,4997
2024-07-01,26,12.06,11.3,12.11,4501
2024-07-08,27,11.42,10.88,13.79,6101
2024-07-15,28,12.19,11.53,12.88,4608
2024-07-22,29,11.7,11.08,11.28,4166
2024-07-29,30,11.85,11.69,12.61,5374
2024-08-05,31,11.7,11.13,12.1,4953
2024-08-12,32,12.93,12.12,13.01,4139
2024-08-19,33,11.99,11.19,12.02,4251
2024-08-26,34,11.47,11.37,12.43,5498
2024-09-02,35,12.41,11.83,12.8,3998
2024-09-09,36,11.39,11.01,13.02,4730
2024-09-16,37,12.1,11.59,11.78,4123
2024-09-23,38,11.02,12.02,12.3,6323
2024-09-30,39,11.34,10.86,12.22,5216
2024-10-07,40,12.1,11.57,12.11,5259
2024-10-14,41,12.37,11.6,13.56,5207
2024-10-21,42,12.09,11.81,12.74,4870
2024-10-28,43,11.94,11.01,11.74,4264
2024-11-04,44,11.85,10.97,13.05,4384
2024-11-11,45,11.26,11.71,13.77,6586
2024-11-18,46,11.64,11.62,13.12,5489
2024-11-25,47,11.77,11.6,11.59,4997
2024-12-02,48,12.53,11.64,12.21,3929
2024-12-09,49,12.17,11.23,13.26,5078
2024-12-16,50,11.12,11.59,12.08,7076
2024-12-23,51,12.16,11.62,12.77,4902
2024-12-30,52,11.81,11.21,12.96,5448
2025-01-06,53,11.66,12.25,11.94,6170
2025-01-13,54,12.31,11.69,12.46,4600
2025-01-20,55,12.52,11.02,11.0,3783
2025-01-27,56,12.47,11.76,11.89,4491
2025-02-03,57,11.58,11.11,12.35,5423
2025-02-10,58,11.85,11.81,11.75,4860
2025-02-17,59,12.17,11.96,13.48,5705
2025-02-24,60,12.49,11.17,11.64,4329
2025-03-03,61,11.76,11.89,12.24,6609
2025-03-10,62,11.91,11.67,12.58,6068
2025-03-17,63,11.45,11.83,13.36,8356
2025-03-24,64,11.4,12.26,11.64,5818
2025-03-31,65,12.41,11.4,13.2,5405
2025-04-07,66,12.68,11.2,12.51,4363
2025-04-14,67,11.96,11.14,11.91,5995
2025-04-21,68,12.5,11.17,12.78,4184
2025-04-28,69,12.18,11.47,12.62,4621
2025-05-05,70,11.68,11.64,12.14,5263
2025-05-12,71,12.18,11.61,12.54,4085
2025-05-19,72,12.77,11.83,12.27,4167
2025-05-26,73,11.98,11.51,12.57,4825
2025-06-02,74,12.78,12.08,12.9,4778
2025-06-09,75,10.69,11.39,13.45,7901
2025-06-16,76,12.41,12.59,11.76,5948
2025-06-23,77,12.04,11.75,13.78,6236
2025-06-30,78,11.85,11.16,11.33,4247
2025-07-07,79,12.05,11.07,12.41,4207
2025-07-14,80,11.01,11.69,12.85,7079
2025-07-21,81,11.89,11.41,12.67,4433
2025-07-28,82,12.18,11.79,12.13,5652
2025-08-04,83,12.74,11.69,12.38,4639
2025-08-11,84,11.74,11.47,12.2,4792
2025-08-18,85,11.6,11.16,12.15,4174
2025-08-25,86,11.75,10.89,13.01,5613
2025-09-01,87,12.46,11.32,12.71,4195
2025-09-08,88,12.16,11.84,12.08,5240
2025-09-15,89,11.74,11.59,13.04,4577
2025-09-22,90,12.26,11.0,12.68,3988
2025-09-29,91,12.05,11.57,12.99,4929
2025-10-06,92,12.48,11.65,12.88,4465
2025-10-13,93,11.65,11.15,12.0,4561
2025-10-20,94,11.84,11.56,12.16,5183
2025-10-27,95,11.8,11.52,12.95,4696
2025-11-03,96,11.27,11.04,12.87,5530
2025-11-10,97,12.15,11.64,12.49,4778
2025-11-17,98,12.13,11.72,12.57,5101
2025-11-24,99,12.0,11.93,13.27,5853
2025-12-01,100,11.88,11.92,12.15,4615
2025-12-08,101,11.29,10.95,12.83,4825
2025-12-15,102,11.79,11.12,12.38,5574
2025-12-22,103,11.83,11.71,12.37,5453
2025-12-29,104,11.6,11.71,13.16,5556
