,Date,SKU,Brand,Manufacturer,Nest,Price,ACV,Sales_Volume
1,2023-01-02,SKU_02,Brand_A,BigFizz,Soda,2.28,0.93,1683
2,2023-01-02,SKU_03,Brand_B,BigFizz,Soda,1.43,0.85,9289
3,2023-01-02,SKU_04,Brand_C,PopCorp,Soda,1.5,0.59,8852
4,2023-01-02,SKU_05,Brand_C,PopCorp,Soda,1.54,0.76,8324
5,2023-01-02,SKU_06,Brand_D,NatureDrink,Juice,3.07,0.57,55
7,2023-01-09,SKU_01,Brand_A,BigFizz,Soda,1.51,0.59,7717
8,2023-01-09,SKU_02,Brand_A,BigFizz,Soda,2.73,0.89,600
9,2023-01-09,SKU_03,Brand_B,BigFizz,Soda,1.28,0.6,10454
10,2023-01-09,SKU_04,Brand_C,PopCorp,Soda,1.45,0.66,9392
11,2023-01-09,SKU_05,Brand_C,PopCorp,Soda,1.71,0.68,5566
13,2023-01-09,SKU_07,Brand_E,NatureDrink,Juice,3.2,0.99,83
14,2023-01-16,SKU_01,Brand_A,BigFizz,Soda,1.62,0.74,9263
15,2023-01-16,SKU_02,Brand_A,BigFizz,Soda,2.63,0.78,577
16,2023-01-16,SKU_03,Brand_B,BigFizz,Soda,1.48,0.75,5957
17,2023-01-16,SKU_04,Brand_C,PopCorp,Soda,1.45,0.55,9931
19,2023-01-16,SKU_06,Brand_D,NatureDrink,Juice,3.24,0.62,48
22,2023-01-23,SKU_02,Brand_A,BigFizz,Soda,2.46,0.61,721
23,2023-01-23,SKU_03,Brand_B,BigFizz,Soda,1.52,0.66,6098
24,2023-01-23,SKU_04,Brand_C,PopCorp,Soda,1.61,0.85,10254
25,2023-01-23,SKU_05,Brand_C,PopCorp,Soda,1.75,0.63,5194
26,2023-01-23,SKU_06,Brand_D,NatureDrink,Juice,3.0,0.65,144
30,2023-01-30,SKU_03,Brand_B,BigFizz,Soda,1.45,0.69,7932
31,2023-01-30,SKU_04,Brand_C,PopCorp,Soda,1.74,0.94,8084
32,2023-01-30,SKU_05,Brand_C,PopCorp,Soda,1.52,0.83,12884
34,2023-01-30,SKU_07,Brand_E,NatureDrink,Juice,3.22,0.95,80
35,2023-02-06,SKU_01,Brand_A,BigFizz,Soda,1.55,0.61,11133
36,2023-02-06,SKU_02,Brand_A,BigFizz,Soda,2.61,0.62,674
38,2023-02-06,SKU_04,Brand_C,PopCorp,Soda,1.65,0.78,9357
