,sku,brand,nest,Price,ACV,Date,Sales_Volume
0,SKU_01,Brand_A,Soda,1.44,0.69,2023-01-02,22211
1,SKU_02,Brand_A,Soda,2.74,0.87,2023-01-02,793
2,SKU_03,Brand_B,Soda,1.37,0.74,2023-01-02,13723
3,SKU_06,Brand_D,Juice,3.14,0.67,2023-01-02,129
4,SKU_07,Brand_E,Juice,3.52,0.81,2023-01-02,38
5,SKU_01,Brand_A,Soda,1.5,0.77,2023-01-09,15495
6,SKU_02,Brand_A,Soda,2.46,0.96,2023-01-09,1433
7,SKU_03,Brand_B,Soda,1.29,0.73,2023-01-09,15614
8,SKU_04,Brand_C,Soda,1.72,0.7,2023-01-09,7363
9,SKU_06,Brand_D,Juice,3.07,0.65,2023-01-09,124
10,SKU_07,Brand_E,Juice,3.57,0.82,2023-01-09,34
11,SKU_01,Brand_A,Soda,1.52,0.64,2023-01-16,11788
12,SKU_02,Brand_A,Soda,2.56,0.89,2023-01-16,1103
13,SKU_03,Brand_B,Soda,1.3,0.66,2023-01-16,13956
14,SKU_04,Brand_C,Soda,1.54,0.88,2023-01-16,12452
15,SKU_06,Brand_D,Juice,3.21,0.74,2023-01-16,102
16,SKU_01,Brand_A,Soda,1.55,0.64,2023-01-23,12717
17,SKU_02,Brand_A,Soda,2.67,0.82,2023-01-23,811
18,SKU_03,Brand_B,Soda,1.37,0.73,2023-01-23,13077
19,SKU_04,Brand_C,Soda,1.55,0.82,2023-01-23,14759
20,SKU_06,Brand_D,Juice,3.01,0.6,2023-01-23,134
21,SKU_07,Brand_E,Juice,3.78,0.99,2023-01-23,25
22,SKU_02,Brand_A,Soda,2.71,0.83,2023-01-30,1167
23,SKU_03,Brand_B,Soda,1.27,0.88,2023-01-30,27684
24,SKU_04,Brand_C,Soda,1.49,0.91,2023-01-30,22808
25,SKU_06,Brand_D,Juice,2.77,0.87,2023-01-30,454
26,SKU_07,Brand_E,Juice,3.64,0.78,2023-01-30,53
27,SKU_01,Brand_A,Soda,1.6,0.96,2023-02-06,56930
28,SKU_06,Brand_D,Juice,2.95,0.82,2023-02-06,725
29,SKU_07,Brand_E,Juice,3.48,0.92,2023-02-06,177
30,SKU_02,Brand_A,Soda,2.27,0.9,2023-02-13,3320
31,SKU_03,Brand_B,Soda,1.28,0.86,2023-02-13,31539
32,SKU_04,Brand_C,Soda,1.69,0.83,2023-02-13,16788
33,SKU_06,Brand_D,Juice,2.73,0.92,2023-02-13,607
34,SKU_07,Brand_E,Juice,3.45,0.92,2023-02-13,101
35,SKU_01,Brand_A,Soda,1.5,0.73,2023-02-20,14569
36,SKU_03,Brand_B,Soda,1.29,0.7,2023-02-20,18116
37,SKU_04,Brand_C,Soda,1.61,0.85,2023-02-20,14433
38,SKU_07,Brand_E,Juice,3.84,0.75,2023-02-20,23
39,SKU_01,Brand_A,Soda,1.64,0.86,2023-02-27,12672
40,SKU_02,Brand_A,Soda,2.26,0.71,2023-02-27,1901
41,SKU_03,Brand_B,Soda,1.33,0.75,2023-02-27,15730
42,SKU_04,Brand_C,Soda,1.47,0.69,2023-02-27,16885
43,SKU_06,Brand_D,Juice,2.92,0.6,2023-02-27,148
44,SKU_07,Brand_E,Juice,3.52,0.66,2023-02-27,24
45,SKU_01,Brand_A,Soda,1.6,0.65,2023-03-06,15181
46,SKU_02,Brand_A,Soda,2.26,0.89,2023-03-06,2996
47,SKU_03,Brand_B,Soda,1.41,0.83,2023-03-06,16686
48,SKU_04,Brand_C,Soda,1.62,0.86,2023-03-06,14819
49,SKU_06,Brand_D,Juice,3.26,0.83,2023-03-06,109
50,SKU_07,Brand_E,Juice,3.54,0.8,2023-03-06,46
51,SKU_01,Brand_A,Soda,1.58,0.75,2023-03-13,18376
52,SKU_02,Brand_A,Soda,2.72,0.96,2023-03-13,1288
53,SKU_03,Brand_B,Soda,1.32,0.73,2023-03-13,18348
54,SKU_04,Brand_C,Soda,1.72,0.93,2023-03-13,12581
55,SKU_07,Brand_E,Juice,3.25,0.64,2023-03-13,87
56,SKU_01,Brand_A,Soda,1.56,0.96,2023-03-20,21755
57,SKU_02,Brand_A,Soda,2.64,0.68,2023-03-20,1105
58,SKU_03,Brand_B,Soda,1.39,0.91,2023-03-20,20693
59,SKU_04,Brand_C,Soda,1.65,0.91,2023-03-20,15413
60,SKU_06,Brand_D,Juice,2.82,0.79,2023-03-20,409
61,SKU_01,Brand_A,Soda,1.43,0.97,2023-03-27,25710
62,SKU_02,Brand_A,Soda,2.7,0.62,2023-03-27,483
63,SKU_03,Brand_B,Soda,1.27,0.62,2023-03-27,16054
64,SKU_04,Brand_C,Soda,1.74,0.85,2023-03-27,9643
65,SKU_06,Brand_D,Juice,2.8,0.74,2023-03-27,256
66,SKU_07,Brand_E,Juice,3.51,0.72,2023-03-27,37
67,SKU_01,Brand_A,Soda,1.46,0.95,2023-04-03,21882
68,SKU_02,Brand_A,Soda,2.26,0.97,2023-04-03,2311
69,SKU_03,Brand_B,Soda,1.29,0.64,2023-04-03,14427
70,SKU_04,Brand_C,Soda,1.57,0.86,2023-04-03,14099
71,SKU_06,Brand_D,Juice,2.93,0.82,2023-04-03,229
72,SKU_07,Brand_E,Juice,3.61,0.69,2023-04-03,17
73,SKU_01,Brand_A,Soda,1.55,0.62,2023-04-10,13326
74,SKU_02,Brand_A,Soda,2.48,0.71,2023-04-10,1123
75,SKU_03,Brand_B,Soda,1.54,0.96,2023-04-10,12714
76,SKU_04,Brand_C,Soda,1.44,0.99,2023-04-10,28309
77,SKU_06,Brand_D,Juice,2.94,0.94,2023-04-10,282
78,SKU_01,Brand_A,Soda,1.53,0.78,2023-04-17,18403
79,SKU_02,Brand_A,Soda,2.56,0.76,2023-04-17,1249
80,SKU_03,Brand_B,Soda,1.29,0.69,2023-04-17,16811
81,SKU_04,Brand_C,Soda,1.69,0.81,2023-04-17,11387
82,SKU_07,Brand_E,Juice,3.58,0.62,2023-04-17,27
